test,device,signal,value,timestamp,delta
1,,,,,
,raspberry-pi,gpio17,1,2026-04-16T09:44:44.143Z,7445
,raspberry-pi,gpio6,1,2026-04-16T09:44:48.942Z,17189
,raspberry-pi,gpio6,0,2026-04-16T09:44:49.168Z,793
,raspberry-pi,gpio6,1,2026-04-16T09:44:49.388Z,221
,raspberry-pi,gpio6,0,2026-04-16T09:44:49.422Z,223
,raspberry-pi,gpio6,1,2026-04-16T09:44:49.453Z,30
,raspberry-pi,gpio6,0,2026-04-16T09:44:49.470Z,34
,raspberry-pi,gpio26,1,2026-04-16T09:44:49.881Z,18017
,raspberry-pi,gpio6,1,2026-04-16T09:44:49.913Z,431
,raspberry-pi,gpio6,0,2026-04-16T09:44:50.063Z,29
,raspberry-pi,gpio26,0,2026-04-16T09:44:50.433Z,595
,raspberry-pi,gpio26,1,2026-04-16T09:44:50.542Z,368
,raspberry-pi,gpio5,1,2026-04-16T09:44:50.591Z,19043
,raspberry-pi,gpio26,0,2026-04-16T09:44:50.629Z,159
,raspberry-pi,gpio5,0,2026-04-16T09:44:50.691Z,42
,raspberry-pi,gpio17,0,2026-04-16T09:44:55.630Z,11475
,raspberry-pi,gpio17,1,2026-04-16T09:45:03.264Z,7647
,raspberry-pi,gpio6,1,2026-04-16T09:45:08.040Z,17358
,raspberry-pi,gpio6,0,2026-04-16T09:45:08.294Z,772
,raspberry-pi,gpio6,1,2026-04-16T09:45:08.428Z,249
,raspberry-pi,gpio6,0,2026-04-16T09:45:08.433Z,134
,raspberry-pi,gpio6,1,2026-04-16T09:45:08.441Z,8
,raspberry-pi,gpio6,0,2026-04-16T09:45:08.454Z,5
,raspberry-pi,gpio6,1,2026-04-16T09:45:08.492Z,12
,raspberry-pi,gpio6,0,2026-04-16T09:45:08.498Z,40
,raspberry-pi,gpio6,1,2026-04-16T09:45:08.543Z,5
,raspberry-pi,gpio6,0,2026-04-16T09:45:08.568Z,48
,raspberry-pi,gpio26,1,2026-04-16T09:45:08.971Z,18374
,raspberry-pi,gpio6,1,2026-04-16T09:45:09.002Z,450
,raspberry-pi,gpio6,0,2026-04-16T09:45:09.132Z,8
,raspberry-pi,gpio6,1,2026-04-16T09:45:09.163Z,154
,raspberry-pi,gpio6,0,2026-04-16T09:45:09.173Z,6
,raspberry-pi,gpio5,1,2026-04-16T09:45:09.352Z,18545
,raspberry-pi,gpio5,0,2026-04-16T09:45:09.441Z,184
,raspberry-pi,gpio26,0,2026-04-16T09:45:09.527Z,475
,raspberry-pi,gpio26,1,2026-04-16T09:45:09.640Z,85
,raspberry-pi,gpio5,1,2026-04-16T09:45:09.699Z,337
,raspberry-pi,gpio26,0,2026-04-16T09:45:09.723Z,177
,raspberry-pi,gpio5,0,2026-04-16T09:45:09.794Z,29
,raspberry-pi,gpio17,0,2026-04-16T09:45:14.832Z,11542
,raspberry-pi,gpio17,1,2026-04-16T09:45:22.340Z,7534
,raspberry-pi,gpio6,1,2026-04-16T09:45:27.127Z,17187
,raspberry-pi,gpio6,0,2026-04-16T09:45:27.540Z,781
,raspberry-pi,gpio6,1,2026-04-16T09:45:27.547Z,409
,raspberry-pi,gpio6,0,2026-04-16T09:45:27.619Z,8
,raspberry-pi,gpio6,1,2026-04-16T09:45:27.627Z,69
,raspberry-pi,gpio6,0,2026-04-16T09:45:27.632Z,9
,raspberry-pi,gpio6,1,2026-04-16T09:45:27.637Z,5
,raspberry-pi,gpio6,0,2026-04-16T09:45:27.657Z,6
,raspberry-pi,gpio26,1,2026-04-16T09:45:28.077Z,18368
,raspberry-pi,gpio6,1,2026-04-16T09:45:28.106Z,463
,raspberry-pi,gpio6,0,2026-04-16T09:45:28.274Z,8
,raspberry-pi,gpio5,1,2026-04-16T09:45:28.361Z,18553
,raspberry-pi,gpio5,0,2026-04-16T09:45:28.541Z,89
,raspberry-pi,gpio26,0,2026-04-16T09:45:28.622Z,470
,raspberry-pi,gpio26,1,2026-04-16T09:45:28.730Z,184
,raspberry-pi,gpio5,1,2026-04-16T09:45:28.819Z,370
,raspberry-pi,gpio26,0,2026-04-16T09:45:28.824Z,94
,raspberry-pi,gpio5,0,2026-04-16T09:45:28.880Z,92
